t,ID,x,y,vx,vy
1.2000,6,1.320910,0.254240,0.151169,-0.013922
1.2000,7,1.525890,0.836286,0.085070,-0.038156
1.3000,0,1.640830,0.382240,0.198143,0.014957
1.3000,1,0.767783,0.403389,0.227180,0.122924
1.3000,2,0.781948,0.995066,0.105079,0.123981
1.3000,3,1.251690,0.968796,0.176294,0.019588
1.3000,4,1.046800,0.275413,0.139406,0.063050
1.3000,5,0.994178,0.759810,0.169680,0.121445
1.3000,6,1.337010,0.253343,0.176358,0.016136
1.3000,7,1.537700,0.830553,0.151251,-0.076996
1.4000,0,1.664120,0.386687,0.264710,0.073490
1.4000,1,0.780850,0.414705,0.078623,0.077426
1.4000,2,0.796691,1.010450,0.191334,0.182899
1.4000,3,1.269120,0.973691,0.173631,0.065136
1.4000,4,1.056430,0.286364,0.108470,0.143586
1.4000,5,1.013180,0.767140,0.211685,0.011393
1.4000,6,1.350480,0.259438,0.146821,0.087071
1.4000,7,1.551750,0.823379,0.133156,-0.069042
1.5000,0,1.690330,0.398571,0.207839,0.112555
1.5000,1,0.787082,0.424268,0.030976,0.136647
1.5000,2,0.817281,1.026730,0.153392,0.144405
1.5000,3,1.287650,0.976716,0.151191,-0.001184
1.5000,4,1.064060,0.302138,0.020904,0.121868
1.5000,5,1.030730,0.768503,0.199301,0.035304
1.5000,6,1.365700,0.271505,0.102171,0.106133
1.5000,7,1.566500,0.816216,0.124675,-0.046065
1.6000,0,1.710720,0.409206,0.184281,0.087488
1.6000,1,0.779028,0.437612,-0.184868,0.130446
1.6000,2,0.834231,1.038410,0.139569,0.094331
1.6000,3,1.302620,0.973998,0.145887,-0.051549
1.6000,4,1.065510,0.315777,0.007518,0.149548
1.6000,5,1.049260,0.768328,0.126429,-0.033337
1.6000,6,1.375500,0.284179,0.076587,0.137500
1.6000,7,1.580660,0.811607,0.157231,-0.043419
1.7000,0,1.724030,0.414088,0.121269,0.040806
1.7000,1,0.766361,0.449057,-0.072218,0.099487
1.7000,2,0.845897,1.043100,0.067358,0.006307
1.7000,3,1.316170,0.968230,0.126229,-0.070006
1.7000,4,1.066640,0.326147,0.005324,0.077847
1.7000,5,1.061700,0.762008,0.081317,-0.102824
1.7000,6,1.378610,0.295552,0.026293,0.118811
1.7000,7,1.595870,0.807814,0.150324,-0.034605
1.8000,0,1.737460,0.419800,0.137156,0.061860
1.8000,1,0.788197,0.450228,0.363084,-0.102637
1.8000,2,0.846853,1.052160,0.026598,0.118878
1.8000,3,1.327010,0.964172,0.101816,0.014569
1.8000,4,1.069520,0.333656,0.007544,0.090300
